H,Omega_m0,a_av,a_av_tt,target
0.1029580258,0.1606484338,0.6648575305,0.0006204099,0.7001720779
0.1041047682,0.1606484338,0.6568364611,0.0006182411,0.7181838874
0.1052517914,0.1606484338,0.6490066225,0.0006159283,0.7364858422
0.1063991217,0.1606484338,0.6413612565,0.0006134623,0.7550758589
0.107546786,0.1606484338,0.6338939198,0.0006108346,0.7739519371
0.1086948122,0.1606484338,0.6265984655,0.0006080372,0.7931121467
0.1098432289,0.1606484338,0.6194690265,0.0006050625,0.8125546165
0.110992065,0.1606484338,0.6125,0.0006019033,0.8322775257
0.1121413502,0.1606484338,0.6056860321,0.000598553,0.8522790951
0.1132911145,0.1606484338,0.5990220049,0.0005950053,0.8725575807
0.1144413882,0.1606484338,0.592503023,0.0005912541,0.8931112677
0.1155922019,0.1606484338,0.5861244019,0.0005872937,0.9139384655
0.1167435865,0.1606484338,0.5798816568,0.0005831187,0.9350375033
0.117895573,0.1606484338,0.5737704918,0.000578724,0.9564067264
0.1190481926,0.1606484338,0.5677867903,0.0005741046,0.9780444931
0.1202014766,0.1606484338,0.5619266055,0.0005692557,0.999949172
0.1213554563,0.1606484338,0.5561861521,0.0005641731,1.0221191396
0.1225101631,0.1606484338,0.5505617978,0.0005588522,1.0445527781
0.1236656284,0.1606484338,0.5450500556,0.0005532891,1.0672484743
0.1248218836,0.1606484338,0.5396475771,0.0005474797,1.0902046178
0.1259789599,0.1606484338,0.534351145,0.0005414203,1.1134195996
0.1271368886,0.1606484338,0.5291576674,0.0005351072,1.1368918116
0.1282957008,0.1606484338,0.5240641711,0.0005285369,1.1606196457
0.1294554276,0.1606484338,0.5190677966,0.000521706,1.1846014928
0.1306160999,0.1606484338,0.5141657922,0.0005146114,1.2088357427
0.1317777484,0.1606484338,0.5093555094,0.0005072498,1.2333207833
0.1329404037,0.1606484338,0.5046343975,0.0004996183,1.2580550007
0.1341040964,0.1606484338,0.5,0.0004917139,1.2830367788
0.07774399,0.1661525738,0.9090909091,0.0006909369,0.3980210602
0.0788793704,0.1661525738,0.8941605839,0.0006855749,0.4086886427
0.0800155791,0.1661525738,0.8797127469,0.0006810216,0.4198620266
0.0811524502,0.1661525738,0.8657243816,0.000677121,0.4315053402
0.082289853,0.1661525738,0.852173913,0.0006737487,0.4435902979
0.0834276845,0.1661525738,0.8390410959,0.0006708035,0.4560942216
0.0845658638,0.1661525738,0.826306914,0.0006682022,0.4689986597
0.0857043282,0.1661525738,0.8139534884,0.0006658751,0.4822883989
0.0868430297,0.1661525738,0.8019639935,0.0006637634,0.4959507442
0.0879819326,0.1661525738,0.7903225806,0.0006618171,0.5099749825
0.0891210114,0.1661525738,0.7790143084,0.000659993,0.5243519787
0.0902602493,0.1661525738,0.7680250784,0.0006582537,0.5390738654
0.0913996364,0.1661525738,0.7573415765,0.0006565663,0.5541338026
0.0925391694,0.1661525738,0.7469512195,0.0006549019,0.5695257893
0.09367885,0.1661525738,0.7368421053,0.0006532349,0.585244514
0.0948186845,0.1661525738,0.7270029674,0.0006515424,0.6012852352
0.0959586829,0.1661525738,0.7174231332,0.0006498039,0.6176436846
0.0970988587,0.1661525738,0.7080924855,0.0006480008,0.6343159894
0.0982392283,0.1661525738,0.6990014265,0.0006461162,0.6512986076
0.0993798105,0.1661525738,0.6901408451,0.0006441348,0.6685882755
0.1005206262,0.1661525738,0.6815020862,0.0006420426,0.6861819637
0.1016616983,0.1661525738,0.6730769231,0.0006398268,0.7040768412
0.1028030514,0.1661525738,0.6648575305,0.0006374753,0.7222702444
0.1039447113,0.1661525738,0.6568364611,0.0006349772,0.7407596518
0.1050867051,0.1661525738,0.6490066225,0.0006323223,0.7595426623
0.1062290611,0.1661525738,0.6413612565,0.000629501,0.7786169773
0.1073718084,0.1661525738,0.6338939198,0.0006265045,0.7979803849
0.1085149768,0.1661525738,0.6265984655,0.0006233243,0.8176307467
0.109658597,0.1661525738,0.6194690265,0.0006199528,0.8375659869
0.1108027,0.1661525738,0.6125,0.0006163825,0.8577840825
0.1119473175,0.1661525738,0.6056860321,0.0006126064,0.8782830552
0.1130924816,0.1661525738,0.5990220049,0.000608618,0.8990609641
0.1142382247,0.1661525738,0.592503023,0.0006044112,0.9201159002
0.1153845794,0.1661525738,0.5861244019,0.0005999799,0.9414459809
0.1165315786,0.1661525738,0.5798816568,0.0005953186,0.9630493455
0.1176792554,0.1661525738,0.5737704918,0.0005904219,0.9849241518
0.1188276429,0.1661525738,0.5677867903,0.0005852848,1.0070685726
0.1199767744,0.1661525738,0.5619266055,0.0005799024,1.0294807927
0.1211266833,0.1661525738,0.5561861521,0.0005742701,1.0521590072
0.1222774028,0.1661525738,0.5505617978,0.0005683834,1.0751014189
0.1234289662,0.1661525738,0.5450500556,0.0005622382,1.0983062371
0.1245814069,0.1661525738,0.5396475771,0.0005558303,1.1217716755
0.1257347579,0.1661525738,0.534351145,0.0005491558,1.1454959519
0.1268890523,0.1661525738,0.5291576674,0.000542211,1.1694772865
0.1280443233,0.1661525738,0.5240641711,0.0005349923,1.1937139015
0.1292006035,0.1661525738,0.5190677966,0.0005274963,1.2182040202
0.1303579257,0.1661525738,0.5141657922,0.0005197196,1.2429458669
0.1315163224,0.1661525738,0.5093555094,0.000511659,1.2679376659
0.1326758259,0.1661525738,0.5046343975,0.0005033115,1.2931776419
0.1338364685,0.1661525738,0.5,0.000494674,1.3186640191
0.0777105861,0.1717055693,0.9090909091,0.0007135119,0.4111527882
0.0788400247,0.1717055693,0.8941605839,0.000707873,0.4221412679
0.0799703324,0.1717055693,0.8797127469,0.0007030631,0.4336490724
0.0811013395,0.1717055693,0.8657243816,0.0006989208,0.4456389806
0.0822329128,0.1717055693,0.852173913,0.0006953175,0.4580816116
0.0833649475,0.1717055693,0.8390410959,0.0006921485,0.470953379
0.0844973618,0.1717055693,0.826306914,0.0006893277,0.4842350637
0.0856300924,0.1717055693,0.8139534884,0.0006867831,0.4979107929
0.0867630913,0.1717055693,0.8019639935,0.0006844537,0.5119672954
0.0878963232,0.1717055693,0.7903225806,0.0006822878,0.5263933481
0.0890297633,0.1717055693,0.7790143084,0.0006802407,0.5411793577
0.0901633957,0.1717055693,0.7680250784,0.0006782736,0.5563170411
0.0912972118,0.1717055693,0.7573415765,0.0006763526,0.5717991765
0.0924312095,0.1717055693,0.7469512195,0.0006744476,0.5876194091
0.093565392,0.1717055693,0.7368421053,0.0006725322,0.6037720967
0.0946997671,0.1717055693,0.7270029674,0.0006705826,0.620252186
0.0958343468,0.1717055693,0.7174231332,0.0006685775,0.6370551133
0.0969691463,0.1717055693,0.7080924855,0.0006664977,0.6541767237
0.0981041837,0.1717055693,0.6990014265,0.0006643257,0.6716132046
0.09923948,0.1717055693,0.6901408451,0.0006620457,0.6893610317
0.100375058,0.1717055693,0.6815020862,0.0006596432,0.7074169235
0.1015109426,0.1717055693,0.6730769231,0.0006571046,0.7257778039
0.1026471605,0.1717055693,0.6648575305,0.0006544178,0.744440771
0.1037837397,0.1717055693,0.6568364611,0.0006515713,0.7634030704
0.1049207094,0.1717055693,0.6490066225,0.0006485545,0.7826620735
0.1060580999,0.1717055693,0.6413612565,0.0006453576,0.8022152583
0.1071959424,0.1717055693,0.6338939198,0.0006419713,0.8220601938
0.1083342691,0.1717055693,0.6265984655,0.000638387,0.8421945263
0.1094731127,0.1717055693,0.6194690265,0.0006345966,0.862615968
0.1106125064,0.1717055693,0.6125,0.0006305925,0.883322287
0.111752484,0.1717055693,0.6056860321,0.0006263675,0.9043112992
0.1128930798,0.1717055693,0.5990220049,0.0006219149,0.9255808608
0.1140343282,0.1717055693,0.592503023,0.0006172281,0.9471288625
0.1151762641,0.1717055693,0.5861244019,0.0006123011,0.9689532239
0.1163189223,0.1717055693,0.5798816568,0.0006071281,0.9910518891
0.1174623381,0.1717055693,0.5737704918,0.0006017037,1.0134228229
0.1186065467,0.1717055693,0.5677867903,0.0005960225,1.0360640077
0.1197515834,0.1717055693,0.5619266055,0.0005900796,1.0589734403
0.1208974835,0.1717055693,0.5561861521,0.0005838702,1.0821491298
0.1220442824,0.1717055693,0.5505617978,0.0005773897,1.1055890954
0.1231920153,0.1717055693,0.5450500556,0.0005706339,1.129291365
0.1243407174,0.1717055693,0.5396475771,0.0005635985,1.1532539735
0.1254904239,0.1717055693,0.534351145,0.0005562795,1.1774749617
0.1266411698,0.1717055693,0.5291576674,0.000548673,1.2019523753
0.1277929898,0.1717055693,0.5240641711,0.0005407755,1.2266842642
0.1289459188,0.1717055693,0.5190677966,0.0005325834,1.2516686818
0.1300999911,0.1717055693,0.5141657922,0.0005240932,1.2769036846
0.1312552412,0.1717055693,0.5093555094,0.0005153018,1.3023873316
0.1324117031,0.1717055693,0.5046343975,0.0005062059,1.3281176844
0.1335694107,0.1717055693,0.5,0.0004968026,1.3540928065
0.0776768956,0.1773080638,0.9090909091,0.0007362548,0.4243905905
0.0788003434,0.1773080638,0.8941605839,0.0007303303,0.4357005197
0.079924702,0.1773080638,0.8797127469,0.0007252546,0.4475431981
0.0810497986,0.1773080638,0.8657243816,0.0007208613,0.4598800341
0.0821754972,0.1773080638,0.852173913,0.0007170173,0.4726805326
0.0833016914,0.1773080638,0.8390410959,0.0007136144,0.4859201822
0.0844282986,0.1773080638,0.826306914,0.0007105636,0.4995789806
0.085555255,0.1773080638,0.8139534884,0.0007077904,0.5136403808
0.0866825129,0.1773080638,0.8019639935,0.0007052319,0.528090522
0.0878100374,0.1773080638,0.7903225806,0.0007028346,0.5429176575
0.0889378044,0.1773080638,0.7790143084,0.0007005521,0.5581117238
0.0900657991,0.1773080638,0.7680250784,0.0006983443,0.5736640099
0.0911940143,0.1773080638,0.7573415765,0.0006961761,0.5895669007
0.0923224491,0.1773080638,0.7469512195,0.0006940166,0.6058136765
0.0934511085,0.1773080638,0.7368421053,0.0006918382,0.6223983534
0.094580002,0.1773080638,0.7270029674,0.0006896164,0.639315556
0.0957091434,0.1773080638,0.7174231332,0.0006873291,0.6565604149
0.0968385498,0.1773080638,0.7080924855,0.0006849565,0.6741284834
0.0979682413,0.1773080638,0.6990014265,0.0006824804,0.6920156687
0.0990982409,0.1773080638,0.6901408451,0.0006798845,0.7102181764
0.1002285736,0.1773080638,0.6815020862,0.0006771536,0.7287324638
0.1013592665,0.1773080638,0.6730769231,0.000674274,0.7475552012
0.1024903484,0.1773080638,0.6648575305,0.0006712328,0.7666832397
0.1036218493,0.1773080638,0.6568364611,0.0006680183,0.7861135841
0.1047538008,0.1773080638,0.6490066225,0.0006646195,0.8058433699
0.1058862355,0.1773080638,0.6413612565,0.0006610261,0.8258698444
0.1070191868,0.1773080638,0.6338939198,0.0006572288,0.8461903499
0.1081526891,0.1773080638,0.6265984655,0.0006532185,0.8668023104
0.1092867772,0.1773080638,0.6194690265,0.0006489868,0.8877032192
0.1104214868,0.1773080638,0.6125,0.000644526,0.908890629
0.1115568537,0.1773080638,0.6056860321,0.0006398285,0.9303621437
0.1126929145,0.1773080638,0.5990220049,0.0006348874,0.9521154106
0.1138297059,0.1773080638,0.592503023,0.0006296961,0.9741481143
0.1149672648,0.1773080638,0.5861244019,0.0006242482,0.9964579712
0.1161056283,0.1773080638,0.5798816568,0.0006185378,1.0190427251
0.1172448339,0.1773080638,0.5737704918,0.0006125593,1.0419001432
0.1183849187,0.1773080638,0.5677867903,0.0006063072,1.0650280129
0.1195259203,0.1773080638,0.5619266055,0.0005997765,1.0884241385
0.1206678761,0.1773080638,0.5561861521,0.0005929621,1.1120863394
0.1218108234,0.1773080638,0.5505617978,0.0005858595,1.1360124477
0.1229547995,0.1773080638,0.5450500556,0.0005784642,1.1602003065
0.1240998418,0.1773080638,0.5396475771,0.0005707719,1.1846477687
0.1252459872,0.1773080638,0.534351145,0.0005627785,1.2093526954
0.1263932727,0.1773080638,0.5291576674,0.0005544801,1.2343129555
0.1275417351,0.1773080638,0.5240641711,0.0005458729,1.2595264245
0.1286914109,0.1773080638,0.5190677966,0.0005369533,1.2849909838
0.1298423366,0.1773080638,0.5141657922,0.000527718,1.3107045207
0.1309945483,0.1773080638,0.5093555094,0.0005181634,1.3366649276
0.1321480818,0.1773080638,0.5046343975,0.0005082866,1.362870102
0.1333029729,0.1773080638,0.5,0.0004980844,1.389317946
0.0776429151,0.1829607124,0.9090909091,0.0007591675,0.4377357388
0.0787603221,0.1829607124,0.8941605839,0.0007529483,0.4493676479
0.0798786833,0.1829607124,0.8797127469,0.0007475977,0.4615456274
0.080997822,0.1829607124,0.8657243816,0.0007429438,0.474229694
0.0821176002,0.1829607124,0.852173913,0.0007388491,0.4873882192
0.0832379098,0.1829607124,0.8390410959,0.000735202,0.5009957494
0.0843586673,0.1829607124,0.826306914,0.0007319104,0.5150314832
0.0854798089,0.1829607124,0.8139534884,0.0007288974,0.5294781849
0.086601287,0.1829607124,0.8019639935,0.0007260981,0.5443213897
0.0877230673,0.1829607124,0.7903225806,0.000723457,0.5595488146
0.0888451267,0.1829607124,0.7790143084,0.0007209264,0.5751499132
0.0899674514,0.1829607124,0.7680250784,0.0007184647,0.5911155343
0.0910900355,0.1829607124,0.7573415765,0.0007160357,0.6074376581
0.0922128801,0.1829607124,0.7469512195,0.0007136073,0.6241091886
0.0933359915,0.1829607124,0.7368421053,0.0007111511,0.6411237894
0.0944593812,0.1829607124,0.7270029674,0.0007086417,0.6584757527
0.0955830649,0.1829607124,0.7174231332,0.0007060563,0.6761598932
0.0967070616,0.1829607124,0.7080924855,0.0007033743,0.6941714622
0.0978313939,0.1829607124,0.6990014265,0.000700577,0.7125060774
0.0989560866,0.1829607124,0.6901408451,0.0006976474,0.7311596652
0.100081167,0.1829607124,0.6815020862,0.00069457,0.7501284127
0.1012066645,0.1829607124,0.6730769231,0.0006913304,0.7694087278
0.10233261,0.1829607124,0.6648575305,0.0006879155,0.7889972064
0.103459036,0.1829607124,0.6568364611,0.000684313,0.8088906042
0.1045859764,0.1829607124,0.6490066225,0.0006805116,0.8290858133
0.105713466,0.1829607124,0.6413612565,0.0006765007,0.8495798427
0.1068415406,0.1829607124,0.6338939198,0.0006722706,0.8703698011
0.1079702368,0.1829607124,0.6265984655,0.000667812,0.8914528829
0.109099592,0.1829607124,0.6194690265,0.0006631162,0.912826356
0.1102296439,0.1829607124,0.6125,0.0006581752,0.9344875518
0.1113604309,0.1829607124,0.6056860321,0.0006529813,0.956433856
0.1124919918,0.1829607124,0.5990220049,0.0006475273,0.9786627012
0.1136243654,0.1829607124,0.592503023,0.0006418063,1.0011715607
0.114757591,0.1829607124,0.5861244019,0.0006358119,1.0239579427
0.115891708,0.1829607124,0.5798816568,0.0006295379,1.047019386
0.1170267559,0.1829607124,0.5737704918,0.0006229786,1.0703534557
0.1181627743,0.1829607124,0.5677867903,0.0006161284,1.0939577401
0.1192998028,0.1829607124,0.5619266055,0.0006089821,1.1178298473
0.1204378809,0.1829607124,0.5561861521,0.0006015345,1.1419674034
0.1215770481,0.1829607124,0.5505617978,0.000593781,1.1663680503
0.1227173438,0.1829607124,0.5450500556,0.0005857169,1.1910294434
0.1238588073,0.1829607124,0.5396475771,0.0005773379,1.215949251
0.1250014777,0.1829607124,0.534351145,0.0005686399,1.2411251527
0.1261453939,0.1829607124,0.5291576674,0.0005596187,1.2665548382
0.1272905947,0.1829607124,0.5240641711,0.0005502707,1.292236007
0.1284371187,0.1829607124,0.5190677966,0.0005405921,1.3181663676
0.1295850039,0.1829607124,0.5141657922,0.0005305794,1.3443436368
0.1307342885,0.1829607124,0.5093555094,0.0005202293,1.3707655397
0.1318850103,0.1829607124,0.5046343975,0.0005095385,1.3974298093
0.1330372066,0.1829607124,0.5,0.0004985039,1.4243341864
0.0776086407,0.1886641816,0.9090909091,0.0007822519,0.4511895247
0.0787199566,0.1886641816,0.8941605839,0.0007757288,0.4631439213
0.0798322711,0.1886641816,0.8797127469,0.0007700938,0.4756576024
0.0809454043,0.1886641816,0.8657243816,0.0007651693,0.4886891708
0.0820592157,0.1886641816,0.852173913,0.0007608138,0.5022058456
0.0831735961,0.1886641816,0.8390410959,0.0007569119,0.5161812131
0.0842884612,0.1886641816,0.826306914,0.0007533685,0.5305936574
0.0854037469,0.1886641816,0.8139534884,0.0007501042,0.5454252384
0.0865194061,0.1886641816,0.8019639935,0.0007470521,0.5606608739
0.0876354052,0.1886641816,0.7903225806,0.0007441548,0.576287731
0.088751722,0.1886641816,0.7790143084,0.0007413631,0.5922947674
0.0898683442,0.1886641816,0.7680250784,0.000738634,0.60867238
0.0909852674,0.1886641816,0.7573415765,0.0007359301,0.6254121324
0.0921024941,0.1886641816,0.7469512195,0.0007332182,0.642506541
0.0932200326,0.1886641816,0.7368421053,0.000730469,0.6599489062
0.0943378965,0.1886641816,0.7270029674,0.0007276562,0.6777331771
0.0954561033,0.1886641816,0.7174231332,0.0007247563,0.6958538423
0.0965746743,0.1886641816,0.7080924855,0.0007217481,0.7143058416
0.0976936342,0.1886641816,0.6990014265,0.0007186121,0.7330844936
0.0988130102,0.1886641816,0.6901408451,0.0007153308,0.7521854362
0.0999328319,0.1886641816,0.6815020862,0.0007118882,0.7716045774
0.1010531309,0.1886641816,0.6730769231,0.0007082695,0.7913380545
0.1021739406,0.1886641816,0.6648575305,0.000704461,0.8113821998
0.1032952959,0.1886641816,0.6568364611,0.0007004501,0.8317335121
0.104417233,0.1886641816,0.6490066225,0.0006962251,0.8523886326
0.1055397892,0.1886641816,0.6413612565,0.0006917752,0.8733443245
0.1066630028,0.1886641816,0.6338939198,0.0006870902,0.8945974559
0.1077869127,0.1886641816,0.6265984655,0.0006821605,0.9161449854
0.1089115587,0.1886641816,0.6194690265,0.0006769774,0.9379839491
0.110036981,0.1886641816,0.6125,0.0006715324,0.9601114509
0.1111632204,0.1886641816,0.6056860321,0.0006658176,0.9825246527
0.1122903178,0.1886641816,0.5990220049,0.0006598257,1.0052207672
0.1134183147,0.1886641816,0.592503023,0.0006535495,1.0281970514
0.1145472525,0.1886641816,0.5861244019,0.0006469826,1.0514508008
0.1156771731,0.1886641816,0.5798816568,0.0006401185,1.0749793445
0.1168081182,0.1886641816,0.5737704918,0.0006329513,1.0987800418
0.1179401296,0.1886641816,0.5677867903,0.0006254753,1.122850278
0.1190732491,0.1886641816,0.5619266055,0.0006176851,1.1471874618
0.1202075186,0.1886641816,0.5561861521,0.0006095757,1.1717890232
0.1213429796,0.1886641816,0.5505617978,0.0006011421,1.1966524107
0.1224796737,0.1886641816,0.5450500556,0.0005923796,1.2217750903
0.1236176423,0.1886641816,0.5396475771,0.0005832838,1.2471545433
0.1247569266,0.1886641816,0.534351145,0.0005738504,1.2727882658
0.1258975675,0.1886641816,0.5291576674,0.0005640754,1.2986737675
0.1270396058,0.1886641816,0.5240641711,0.000553955,1.3248085706
0.1281830819,0.1886641816,0.5190677966,0.0005434853,1.3511902098
0.1293280361,0.1886641816,0.5141657922,0.0005326628,1.3778162312
0.1304745082,0.1886641816,0.5093555094,0.0005214842,1.4046841925
0.1316225379,0.1886641816,0.5046343975,0.0005099461,1.4317916625
0.1327721644,0.1886641816,0.5,0.0004980455,1.4591362207
0.0775740687,0.1944191494,0.9090909091,0.0008055098,0.4647532603
0.0786792423,0.1944191494,0.8941605839,0.0007986734,0.4770306286
0.0797854604,0.1944191494,0.8797127469,0.0007927442,0.4898803836
0.0808925399,0.1944191494,0.8657243816,0.0007875393,0.5032596923
0.0820003379,0.1944191494,0.852173913,0.0007829125,0.5171346018
0.0831087439,0.1944191494,0.8390410959,0.0007787449,0.5314777207
0.0842176731,0.1944191494,0.826306914,0.0007749384,0.5462666019
0.0853270616,0.1944191494,0.8139534884,0.0007714111,0.5614825862
0.0864368624,0.1944191494,0.8019639935,0.0007680939,0.5771099594
0.087547043,0.1944191494,0.7903225806,0.0007649277,0.5931353255
0.0886575823,0.1944191494,0.7790143084,0.0007618615,0.6095471335
0.0897684693,0.1944191494,0.7680250784,0.0007588511,0.626335316
0.0908797013,0.1944191494,0.7573415765,0.0007558579,0.6434910082
0.0919912827,0.1944191494,0.7469512195,0.0007528476,0.6610063277
0.0931032236,0.1944191494,0.7368421053,0.0007497898,0.6788742009
0.0942155397,0.1944191494,0.7270029674,0.0007466576,0.6970882231
0.0953282507,0.1944191494,0.7174231332,0.0007434266,0.7156425468
0.0964413802,0.1944191494,0.7080924855,0.0007400748,0.7345317906
0.0975549551,0.1944191494,0.6990014265,0.0007365823,0.7537509643
0.0986690051,0.1944191494,0.6901408451,0.0007329309,0.7732954086
0.0997835621,0.1944191494,0.6815020862,0.000729104,0.7931607436
0.1008986602,0.1944191494,0.6730769231,0.0007250865,0.8133428274
0.1020143354,0.1944191494,0.6648575305,0.0007208642,0.8338377209
0.103130625,0.1944191494,0.6568364611,0.0007164241,0.8546416583
0.1042475678,0.1944191494,0.6490066225,0.0007117542,0.8757510222
0.1053652035,0.1944191494,0.6413612565,0.0007068432,0.8971623235
0.1064835728,0.1944191494,0.6338939198,0.0007016808,0.9188721828
0.1076027174,0.1944191494,0.6265984655,0.000696257,0.9408773164
0.1087226794,0.1944191494,0.6194690265,0.0006905628,0.9631745229
0.1098435015,0.1944191494,0.6125,0.0006845895,0.9857606726
0.110965227,0.1944191494,0.6056860321,0.000678329,1.0086326988
0.1120878994,0.1944191494,0.5990220049,0.0006717738,1.0317875892
0.1132115624,0.1944191494,0.592503023,0.0006649166,1.0552223798
0.11433626,0.1944191494,0.5861244019,0.0006577505,1.0789341489
0.1154620362,0.1944191494,0.5798816568,0.0006502693,1.1029200125
0.1165889353,0.1944191494,0.5737704918,0.0006424666,1.1271771201
0.1177170014,0.1944191494,0.5677867903,0.0006343368,1.1517026511
0.1188462786,0.1944191494,0.5619266055,0.0006258742,1.176493812
0.1199768108,0.1944191494,0.5561861521,0.0006170738,1.2015478336
0.1211086421,0.1944191494,0.5505617978,0.0006079305,1.2268619696
0.1222418161,0.1944191494,0.5450500556,0.0005984395,1.252433494
0.1233763763,0.1944191494,0.5396475771,0.0005885963,1.2782597001
0.1245123661,0.1944191494,0.534351145,0.0005783966,1.3043378994
0.1256498285,0.1944191494,0.5291576674,0.0005678363,1.3306654205
0.1267888062,0.1944191494,0.5240641711,0.0005569115,1.357239608
0.1279293419,0.1944191494,0.5190677966,0.0005456184,1.3840578226
0.1290714775,0.1944191494,0.5141657922,0.0005339533,1.4111174398
0.130215255,0.1944191494,0.5093555094,0.000521913,1.4384158505
0.1313607158,0.1944191494,0.5046343975,0.000509494,1.4659504599
0.132507901,0.1944191494,0.5,0.0004966933,1.4937186877
0.0775391952,0.200226306,0.9090909091,0.000828943,0.4784282787
0.0786381749,0.200226306,0.8941605839,0.0008217837,0.4910290781
0.0797382463,0.200226306,0.8797127469,0.0008155505,0.5042152504
0.080839223,0.200226306,0.8657243816,0.0008100549,0.5179425041
